Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     38.36     0.00       16     0.00     0.00  void std::_Destroy<sc_core::sc_fifo_out_if<Simage_s>**>(sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**)
  0.00     38.36     0.00       16     0.00     0.00  void std::_Destroy<sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>*>(sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>**, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*>&)
  0.00     38.36     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Simage_s>**, std::vector<sc_core::sc_fifo_in_if<Simage_s>*, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> > >::__normal_iterator(sc_core::sc_fifo_in_if<Simage_s>** const&)
  0.00     38.36     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Simage_s>*, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> >::_M_get_Tp_allocator() const
  0.00     38.36     0.00       14     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Simage_s>*, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> >::max_size() const
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_in_if<Simage_s>*>(sc_core::sc_fifo_in_if<Simage_s>* const*, sc_core::sc_fifo_in_if<Simage_s>* const*, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_in_if<Simage_s>**>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Simage_s>*, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> >::_M_deallocate(sc_core::sc_fifo_in_if<Simage_s>**, unsigned long)
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::__uninitialized_copy<true>::uninitialized_copy<sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::__copy_move_a<false, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::__copy_move_a2<false, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::uninitialized_copy<sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::__uninitialized_copy_a<sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>*>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*>&)
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::__uninitialized_move_a<sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> >(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*>&)
  0.00     38.36     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>** std::copy<sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  void std::_Destroy<sc_core::sc_fifo_in_if<Simage_s>**>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       14     0.00     0.00  void std::_Destroy<sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>*>(sc_core::sc_fifo_in_if<Simage_s>**, sc_core::sc_fifo_in_if<Simage_s>**, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*>&)
  0.00     38.36     0.00       12     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Fkernal_s>*, std::allocator<sc_core::sc_fifo_in_if<Fkernal_s>*> >::size() const
  0.00     38.36     0.00       12     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<int>*, std::allocator<sc_core::sc_fifo_in_if<int>*> >::size() const
  0.00     38.36     0.00       12     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Fkernal_s>*, std::allocator<sc_core::sc_fifo_out_if<Fkernal_s>*> >::size() const
  0.00     38.36     0.00       12     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<int>*, std::allocator<sc_core::sc_fifo_out_if<int>*> >::size() const
  0.00     38.36     0.00       12     0.00     0.00  std::__niter_base<sc_core::sc_fifo_in_if<Fkernal_s>**, false>::__b(sc_core::sc_fifo_in_if<Fkernal_s>**)
  0.00     38.36     0.00       12     0.00     0.00  std::__niter_base<sc_core::sc_fifo_in_if<int>**, false>::__b(sc_core::sc_fifo_in_if<int>**)
  0.00     38.36     0.00       12     0.00     0.00  std::__niter_base<sc_core::sc_fifo_out_if<Fkernal_s>**, false>::__b(sc_core::sc_fifo_out_if<Fkernal_s>**)
  0.00     38.36     0.00       12     0.00     0.00  std::__niter_base<sc_core::sc_fifo_out_if<int>**, false>::__b(sc_core::sc_fifo_out_if<int>**)
  0.00     38.36     0.00        9     0.00     0.00  sc_core::sc_fifo_in<Image_s>::sc_fifo_in()
  0.00     38.36     0.00        9     0.00     0.00  sc_core::sc_fifo_in<Image_s>::~sc_fifo_in()
  0.00     38.36     0.00        9     0.00     0.00  sc_core::sc_port<sc_core::sc_fifo_in_if<Image_s>, 0, (sc_core::sc_port_policy)0>::sc_port()
  0.00     38.36     0.00        9     0.00     0.00  sc_core::sc_port<sc_core::sc_fifo_in_if<Image_s>, 0, (sc_core::sc_port_policy)0>::~sc_port()
  0.00     38.36     0.00        9     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<Image_s> >::sc_port_b(int, sc_core::sc_port_policy)
  0.00     38.36     0.00        9     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<Image_s> >::~sc_port_b()
  0.00     38.36     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<Image_s>*>::deallocate(sc_core::sc_fifo_in_if<Image_s>**, unsigned long)
  0.00     38.36     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<Image_s>*>::allocate(unsigned long, void const*)
  0.00     38.36     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<Image_s>*>::construct(sc_core::sc_fifo_in_if<Image_s>**, sc_core::sc_fifo_in_if<Image_s>* const&)
  0.00     38.36     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<Image_s>*>::new_allocator()
  0.00     38.36     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<Image_s>*>::~new_allocator()
  0.00     38.36     0.00        9     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Image_s>**, std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> > >::difference_type __gnu_cxx::operator-<sc_core::sc_fifo_in_if<Image_s>**, std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> > >(__gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Image_s>**, std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> > > const&, __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Image_s>**, std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> > > const&)
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_M_check_len(unsigned long, char const*) const
  0.00     38.36     0.00        9     0.00     0.00  std::allocator<sc_core::sc_fifo_in_if<Image_s>*>::allocator()
  0.00     38.36     0.00        9     0.00     0.00  std::allocator<sc_core::sc_fifo_in_if<Image_s>*>::~allocator()
  0.00     38.36     0.00        9     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_M_allocate(unsigned long)
  0.00     38.36     0.00        9     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_Vector_impl::_Vector_impl()
  0.00     38.36     0.00        9     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_Vector_impl::~_Vector_impl()
  0.00     38.36     0.00        9     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_Vector_base()
  0.00     38.36     0.00        9     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::~_Vector_base()
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Image_s>**, std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> > >, sc_core::sc_fifo_in_if<Image_s>* const&)
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::end()
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::begin()
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::push_back(sc_core::sc_fifo_in_if<Image_s>* const&)
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::vector()
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::~vector()
  0.00     38.36     0.00        9     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::operator[](unsigned long)
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_fifo_out<Image_s>::sc_fifo_out()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_fifo_out<Image_s>::~sc_fifo_out()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_fifo_out<Simage_s>::sc_fifo_out()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_fifo_out<Simage_s>::~sc_fifo_out()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port<sc_core::sc_fifo_out_if<Image_s>, 0, (sc_core::sc_port_policy)0>::sc_port()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port<sc_core::sc_fifo_out_if<Image_s>, 0, (sc_core::sc_port_policy)0>::~sc_port()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port<sc_core::sc_fifo_out_if<Simage_s>, 0, (sc_core::sc_port_policy)0>::sc_port()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port<sc_core::sc_fifo_out_if<Simage_s>, 0, (sc_core::sc_port_policy)0>::~sc_port()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Image_s> >::sc_port_b(int, sc_core::sc_port_policy)
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Image_s> >::~sc_port_b()
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Simage_s> >::sc_port_b(int, sc_core::sc_port_policy)
  0.00     38.36     0.00        8     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Simage_s> >::~sc_port_b()
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Image_s>*>::deallocate(sc_core::sc_fifo_out_if<Image_s>**, unsigned long)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Image_s>*>::allocate(unsigned long, void const*)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Image_s>*>::construct(sc_core::sc_fifo_out_if<Image_s>**, sc_core::sc_fifo_out_if<Image_s>* const&)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Image_s>*>::new_allocator()
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Image_s>*>::~new_allocator()
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Simage_s>*>::deallocate(sc_core::sc_fifo_out_if<Simage_s>**, unsigned long)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Simage_s>*>::allocate(unsigned long, void const*)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Simage_s>*>::construct(sc_core::sc_fifo_out_if<Simage_s>**, sc_core::sc_fifo_out_if<Simage_s>* const&)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Simage_s>*>::new_allocator()
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<Simage_s>*>::~new_allocator()
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Image_s>**, std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> > >::difference_type __gnu_cxx::operator-<sc_core::sc_fifo_out_if<Image_s>**, std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> > >(__gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Image_s>**, std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> > > const&, __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Image_s>**, std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> > > const&)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Simage_s>**, std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> > >::difference_type __gnu_cxx::operator-<sc_core::sc_fifo_out_if<Simage_s>**, std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> > >(__gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Simage_s>**, std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> > > const&, __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Simage_s>**, std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> > > const&)
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Fkernal_s>**, std::vector<sc_core::sc_fifo_in_if<Fkernal_s>*, std::allocator<sc_core::sc_fifo_in_if<Fkernal_s>*> > >::base() const
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<int>**, std::vector<sc_core::sc_fifo_in_if<int>*, std::allocator<sc_core::sc_fifo_in_if<int>*> > >::base() const
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Fkernal_s>**, std::vector<sc_core::sc_fifo_out_if<Fkernal_s>*, std::allocator<sc_core::sc_fifo_out_if<Fkernal_s>*> > >::base() const
  0.00     38.36     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<int>**, std::vector<sc_core::sc_fifo_out_if<int>*, std::allocator<sc_core::sc_fifo_out_if<int>*> > >::base() const
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_M_check_len(unsigned long, char const*) const
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_M_check_len(unsigned long, char const*) const
  0.00     38.36     0.00        8     0.00     0.00  std::allocator<sc_core::sc_fifo_out_if<Image_s>*>::allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::allocator<sc_core::sc_fifo_out_if<Image_s>*>::~allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::allocator<sc_core::sc_fifo_out_if<Simage_s>*>::allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::allocator<sc_core::sc_fifo_out_if<Simage_s>*>::~allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Fkernal_s>*, std::allocator<sc_core::sc_fifo_in_if<Fkernal_s>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<int>*, std::allocator<sc_core::sc_fifo_in_if<int>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_M_allocate(unsigned long)
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_Vector_impl::_Vector_impl()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_Vector_impl::~_Vector_impl()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_Vector_base()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::~_Vector_base()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_M_allocate(unsigned long)
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_Vector_impl::_Vector_impl()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_Vector_impl::~_Vector_impl()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_Vector_base()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::~_Vector_base()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<Fkernal_s>*, std::allocator<sc_core::sc_fifo_out_if<Fkernal_s>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<int>*, std::allocator<sc_core::sc_fifo_out_if<int>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00        8     0.00     0.00  std::__miter_base<sc_core::sc_fifo_in_if<Fkernal_s>**, false>::__b(sc_core::sc_fifo_in_if<Fkernal_s>**)
  0.00     38.36     0.00        8     0.00     0.00  std::__miter_base<sc_core::sc_fifo_in_if<int>**, false>::__b(sc_core::sc_fifo_in_if<int>**)
  0.00     38.36     0.00        8     0.00     0.00  std::__miter_base<sc_core::sc_fifo_out_if<Fkernal_s>**, false>::__b(sc_core::sc_fifo_out_if<Fkernal_s>**)
  0.00     38.36     0.00        8     0.00     0.00  std::__miter_base<sc_core::sc_fifo_out_if<int>**, false>::__b(sc_core::sc_fifo_out_if<int>**)
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Image_s>**, std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> > >, sc_core::sc_fifo_out_if<Image_s>* const&)
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::end()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::begin()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::push_back(sc_core::sc_fifo_out_if<Image_s>* const&)
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::vector()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::~vector()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Image_s>*, std::allocator<sc_core::sc_fifo_out_if<Image_s>*> >::operator[](unsigned long)
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<Simage_s>**, std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> > >, sc_core::sc_fifo_out_if<Simage_s>* const&)
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::end()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::begin()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::push_back(sc_core::sc_fifo_out_if<Simage_s>* const&)
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::vector()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::~vector()
  0.00     38.36     0.00        8     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<Simage_s>*, std::allocator<sc_core::sc_fifo_out_if<Simage_s>*> >::operator[](unsigned long)
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_in<Simage_s>::sc_fifo_in()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_in<Simage_s>::~sc_fifo_in()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>::sc_fifo_in_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_in_if<Simage_s>::~sc_fifo_in_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_out_if<Simage_s>::sc_fifo_out_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_out_if<Simage_s>::~sc_fifo_out_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_blocking_in_if<Simage_s>::sc_fifo_blocking_in_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_blocking_in_if<Simage_s>::~sc_fifo_blocking_in_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_blocking_out_if<Simage_s>::sc_fifo_blocking_out_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_blocking_out_if<Simage_s>::~sc_fifo_blocking_out_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_nonblocking_in_if<Simage_s>::sc_fifo_nonblocking_in_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_nonblocking_in_if<Simage_s>::~sc_fifo_nonblocking_in_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_nonblocking_out_if<Simage_s>::sc_fifo_nonblocking_out_if()
  0.00     38.36     0.00        7     0.00     0.00  sc_core::sc_fifo_nonblocking_out_if<Simage_s>::~sc_fifo_nonblocking_out_if()
  0.00     38.36     0.00        7     0.00    11.27  sc_core::sc_fifo<Simage_s>::init(int)
  0.00     38.36     0.00        7     0.00    11.27  sc_core::sc_fifo<Simage_s>::buf_init(int)
