Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     38.36     0.00       43     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<Fkernal_s> >::operator->()
  0.00     38.36     0.00       42     0.00     0.00  sc_core::sc_fifo_out<int>::write(int const&)
  0.00     38.36     0.00       42     0.00     0.00  sc_core::sc_fifo<Fkernal_s>::buf_write(Fkernal_s const&)
  0.00     38.36     0.00       42     0.00     0.00  sc_core::sc_fifo<int>::write(int const&)
  0.00     38.36     0.00       42     0.00     0.00  sc_core::sc_fifo<int>::buf_write(int const&)
  0.00     38.36     0.00       42     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<int> >::operator->()
  0.00     38.36     0.00       42     0.00     0.00  sc_core::sc_fifo<int>::num_free() const
  0.00     38.36     0.00       42     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<Simage_s>*, std::allocator<sc_core::sc_fifo_in_if<Simage_s>*> >::size() const
  0.00     38.36     0.00       42     0.00     0.00  std::__niter_base<sc_core::sc_fifo_in_if<Simage_s>**, false>::__b(sc_core::sc_fifo_in_if<Simage_s>**)
  0.00     38.36     0.00       42     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     38.36     0.00       42     0.00     0.00  operator new(unsigned long, void*)
  0.00     38.36     0.00       41     0.00     0.00  sc_core::sc_fifo<Fimage_s>::num_available() const
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_fifo_in<Fkernal_s>::read(Fkernal_s&)
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_fifo_in<int>::read(int&)
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_fifo<Fkernal_s>::read(Fkernal_s&)
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_fifo<Fkernal_s>::buf_read(Fkernal_s&)
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_fifo<int>::read(int&)
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_fifo<int>::buf_read(int&)
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<Fkernal_s> >::operator->()
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<int> >::operator->()
  0.00     38.36     0.00       40     0.00     0.00  sc_core::sc_fifo<Fkernal_s>::num_available() const
  0.00     38.36     0.00       36     0.00     0.00  sc_core::sc_process_b::reference_increment()
  0.00     38.36     0.00       36     0.00     0.00  sc_core::sc_process_handle::sc_process_handle(sc_core::sc_process_handle const&)
  0.00     38.36     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<Image_s>**, std::vector<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> > >::base() const
  0.00     38.36     0.00       36     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<Image_s>*, std::allocator<sc_core::sc_fifo_in_if<Image_s>*> >::_M_get_Tp_allocator()
  0.00     38.36     0.00       36     0.00     0.00  std::__miter_base<sc_core::sc_fifo_in_if<Image_s>**, false>::__b(sc_core::sc_fifo_in_if<Image_s>**)
  0.00     38.36     0.00       36     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
